Lat,Lon,Title,Women,Years to parity
-34.9964963,-64.9672817,Argentina,46,NA
-24.7761086,134.755,Australia,41.4,14.4
47.2000338,13.199959,Austria,34.6,29.4
50.6407351,4.66696,Belgium,38.1,17.4
44.3053476,17.5961467,Bosnia and Herzegovina,50,4
-10.3333333,-53.2,Brazil,47.6,0
42.6073975,25.4856617,Bulgaria,41.3,NA
61.0666922,-107.9917071,Canada,38.7,40.4
-31.7613365,-71.3187697,Chile,36.8,78.4
25.4915799,-98.9811115,China,45.4,0
2.8894434,-73.783892,Colombia,36.2,NA
45.5643442,17.0118954,Croatia,41.7,NA
23.0131338,-80.8328748,Cuba,46,13
49.8167003,15.4749544,Czech Republic,37.7,26.4
55.670249,10.3333283,Denmark,37.7,19.4
26.2540493,29.2675469,Egypt,43.4,3.4
58.7523778,25.3319078,Estonia,35,NA
63.2467777,25.9209164,Finland,43.8,4.4
46.603354,1.8883335,France,37.6,NA
51.0834196,10.4234469,Germany,32.3,31.4
8.0300284,-1.0800271,Ghana,34,19.4
38.9953683,21.9877132,Greece,33.8,30.4
22.350627,114.1849161,Hong Kong,43,6.4
47.1817585,19.5060937,Hungary,40.2,19.4
64.9841821,-18.1059013,Iceland,40.2,NA
22.3511148,78.6677428,India,30.2,NA
-4.7993356,114.5632032,Indonesia,43,7.4
32.9407495,52.9471344,Iran,34.6,17.4
52.865196,-7.9794599,Ireland,40.4,13.4
30.8760272,35.0015196,Israel,39.3,24.4
42.6384261,12.674297,Italy,42.3,12.4
36.5748441,139.2394179,Japan,20.4,142.4
1.4419683,38.4313975,Kenya,39.1,13.4
55.3500003,23.7499997,Lithuania,50,4
49.8158683,6.1296751,Luxembourg,38.3,22.4
2.3923759,112.8471939,Malaysia,37.1,67
19.4326009,-99.1333416,Mexico,39.7,24.4
31.1728192,-7.3366043,Morocco,41.4,7.4
52.2379891,5.5346074,Netherlands,38.6,12.4
-41.5000831,172.8344077,New Zealand,37.9,115
9.6000359,7.9999721,Nigeria,30.3,39.4
64.5731537,11.5280364,Norway,41,9.4
30.3308401,71.247499,Pakistan,33.9,53.4
-6.8699697,-75.0458515,Peru,35.9,21.4
12.7503486,122.7312101,Philippines,37.1,NA
52.0977181,19.0258159,Poland,47.1,0
40.033265,-7.8896263,Portugal,49,0
45.9852129,24.6859225,Romania,53.4,0
64.6863136,97.7453061,Russia,35.4,NA
25.6242618,42.3528328,Saudi Arabia,27.5,30.4
44.1534121,20.55144,Serbia,53.6,0
1.2904753,103.8520359,Singapore,35.3,39.4
48.7411522,19.4528646,Slovakia,45.1,15
45.8133113,14.4808369,Slovenia,43.8,6.4
25.213108,55.1832748,South Africa,40.6,45
36.5581914,127.9408564,South Korea,38.7,26.4
40.0028028,-4.003104,Spain,43.1,6.4
59.6749712,14.5208584,Sweden,40.6,14.4
46.7985624,8.2319736,Switzerland,33.3,31.4
23.5982979,120.8353631,Taiwan,36.4,NA
14.8971921,100.83273,Thailand,43.2,NA
33.8439408,9.400138,Tunisia,48.5,0
38.9597594,34.9249653,Turkey,33.7,61.4
1.5333554,32.2166578,Uganda,40.2,13.4
49.4871968,31.2718321,Ukraine,35.2,38.4
24.0002488,53.9994829,United Arab Emirates,33.9,20.4
54.7023545,-3.2765753,United Kingdom,38.2,23.4
-32.8755548,-56.0201525,Uruguay,39,NA
39.7837304,-100.4458825,USA,38.4,21.4
8.0018709,-66.1109318,Venezuela,28.8,NA
